Item,Cost,Notes,Purchase Link
99.99% Silver Wire,26.99,Find a better listing,https://www.amazon.com/Gauge-Silver-Round-CRAFT-WIRE/dp/B099RN9ZLF
9V Battery,9.79,,https://www.amazon.com/Amazon-Basics-Performance-All-Purpose-Batteries/dp/B0774D64LT
Op Amp (TL072),7.99,,https://www.amazon.com/BOJACK-TL072-Noise-Operational-Amplifiers/dp/B0FH6RYR2W
Electronics Kit,13.59,Make sure this has the resistances and capacitances we need,https://www.amazon.com/ELEGOO-Electronics-Potentiometer-tie-Points-Breadboard/dp/B09YRJQRFF
Agar Powder,9.99,,https://www.amazon.com/Kate-Naturals-Substitute-Unflavored-Keto-Friendly/dp/B08W9BGKJ1
Aquarium Tubing,4.98,To house the solid agar,https://www.amazon.com/Pawfly-Aquarium-Standard-Kink-Resistant-Terrarium/dp/B0CXXXBPQQ
9V Connectors,3.99,,https://www.amazon.com/OIUIOME-Battery-Connector-Plastic-Experiment/dp/B0D5Q9CYKZ
Tax,4.46,Sales tax,
Total,81.78,,
Per Person (split 3 ways),27.26,,
